mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0009329795837402343,0.00012722015380859373,0.09289970397949218,0.005822584544045846,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.4090909090909091,0.3068181818181818,0.32954545454545453,0.25,0.28735632183908044,0.31656217345872517,0.05311983166941836,13
0.0009969711303710938,2.431401974483864e-07,0.10185728073120118,0.006260119736909918,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.38636363636363635,0.3522727272727273,0.32954545454545453,0.2840909090909091,0.3103448275862069,0.33252351097178684,0.03502933167635155,4
0.0008984088897705078,0.0004901416873007287,0.08214421272277832,0.010754813907671024,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.3409090909090909,0.3068181818181818,0.38636363636363635,0.25,0.26436781609195403,0.30969174503657265,0.04995742573242064,23
0.0008039474487304688,0.00042665312161847504,0.07370352745056152,0.0032896886581536815,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.3068181818181818,0.3409090909090909,0.36363636363636365,0.2840909090909091,0.3448275862068966,0.3280564263322884,0.02862315309384479,5
0.0009243011474609375,0.0006660904690706155,0.004268264770507813,0.0014857140146133036,euclidean,9,uniform,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.375,0.3181818181818182,0.3181818181818182,0.23863636363636365,0.27586206896551724,0.30517241379310345,0.04582689883671378,25
0.001172018051147461,0.0002163776165378293,0.0015659332275390625,0.0005208340163027737,euclidean,9,distance,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.3522727272727273,0.3522727272727273,0.3522727272727273,0.23863636363636365,0.3103448275862069,0.32115987460815043,0.04434213325490885,9
0.0004002094268798828,0.0004901547271811614,0.0032778263092041017,0.0009738240926059339,euclidean,11,uniform,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}",0.4090909090909091,0.29545454545454547,0.3181818181818182,0.25,0.2988505747126437,0.3143155694879833,0.05239982756721114,18
0.0007460594177246093,0.0004403262985839531,0.0017984390258789062,0.00043373877993233483,euclidean,11,distance,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}",0.38636363636363635,0.3409090909090909,0.3068181818181818,0.22727272727272727,0.3103448275862069,0.31434169278996865,0.05205107089002247,17
0.0005995750427246094,0.0004895532095069459,0.0031084060668945313,0.0010310038199710572,euclidean,13,uniform,"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}",0.42045454545454547,0.3522727272727273,0.2840909090909091,0.23863636363636365,0.2988505747126437,0.31886102403343786,0.062422689174776856,11
0.00030012130737304686,0.0003996864419851642,0.0014975547790527343,0.0004458564970373461,euclidean,13,distance,"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'distance'}",0.375,0.3409090909090909,0.32954545454545453,0.20454545454545456,0.2988505747126437,0.30977011494252876,0.057977760046037934,22
0.0006233692169189453,0.0005110896416561645,0.0033706188201904296,0.0005716931839292181,euclidean,15,uniform,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",0.38636363636363635,0.32954545454545453,0.32954545454545453,0.2727272727272727,0.28735632183908044,0.3211076280041797,0.03970025164922955,10
0.0005007743835449219,0.0006336542684430535,0.0023029804229736327,0.0008762447715245011,euclidean,15,distance,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}",0.4090909090909091,0.29545454545454547,0.32954545454545453,0.22727272727272727,0.2988505747126437,0.312042842215256,0.05892342254372852,21
0.0006988048553466797,0.0003983418964123613,0.003714895248413086,0.0011175859499607634,euclidean,17,uniform,"{'metric': 'euclidean', 'n_neighbors': 17, 'weights': 'uniform'}",0.3977272727272727,0.32954545454545453,0.2840909090909091,0.2840909090909091,0.27586206896551724,0.31426332288401254,0.04581523738293443,19
0.0007100582122802734,0.00040720414753499847,0.001410675048828125,0.00039050198784354185,euclidean,17,distance,"{'metric': 'euclidean', 'n_neighbors': 17, 'weights': 'distance'}",0.3977272727272727,0.3409090909090909,0.3068181818181818,0.2727272727272727,0.26436781609195403,0.31650992685475443,0.04882873522062076,15
0.00039987564086914064,0.0004897456403489048,0.0031921863555908203,0.0002482016421992423,euclidean,19,uniform,"{'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'uniform'}",0.3522727272727273,0.3409090909090909,0.3181818181818182,0.29545454545454547,0.2413793103448276,0.30963949843260186,0.039316706399305734,24
0.0011010169982910156,0.0011145303210332047,0.002176189422607422,0.0010774154171354676,euclidean,19,distance,"{'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'distance'}",0.3977272727272727,0.3522727272727273,0.32954545454545453,0.29545454545454547,0.25287356321839083,0.32557471264367815,0.049248805675385525,7
0.000600433349609375,0.0003407309506897244,0.0035252094268798826,0.0027939760632454073,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",,,,,,,,33
0.001266336441040039,0.00022466933526220096,0.0015987396240234376,0.00042690026281078634,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.3068181818181818,0.32954545454545453,0.3522727272727273,0.32954545454545453,0.2988505747126437,0.3234064785788924,0.01890395921282221,8
